"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 08, 2021","68.68","70.00","70.44","68.33","1.51M","-2.08%"
"Apr 07, 2021","70.14","70.14","70.45","69.60","3.11M","0.03%"
"Apr 06, 2021","70.12","69.35","70.39","68.82","744.94K","1.62%"
"Apr 05, 2021","69.00","69.70","70.07","69.00","458.30K","0.85%"
"Apr 01, 2021","68.42","68.37","68.67","67.17","783.91K","1.06%"
"Mar 31, 2021","67.70","68.83","68.83","66.92","2.09M","-1.68%"
"Mar 30, 2021","68.86","68.60","69.36","68.52","690.74K","-0.78%"
"Mar 29, 2021","69.40","70.49","71.75","69.39","4.47M","-1.45%"
"Mar 26, 2021","70.42","69.67","70.84","69.29","4.60M","1.44%"
"Mar 25, 2021","69.42","68.30","69.52","67.42","3.38M","1.40%"
"Mar 24, 2021","68.46","69.23","69.50","68.15","1.08M","-0.41%"
"Mar 23, 2021","68.74","70.06","70.29","68.53","1.09M","-2.04%"
"Mar 22, 2021","70.17","71.31","71.50","69.79","1.52M","-1.68%"
"Mar 19, 2021","71.37","72.09","72.25","70.53","4.76M","-1.01%"
"Mar 18, 2021","72.10","72.16","74.34","72.06","3.38M","-0.04%"
"Mar 17, 2021","72.13","72.15","72.74","71.58","854.43K","-0.10%"
"Mar 16, 2021","72.20","73.49","73.50","72.18","1.47M","-1.53%"
"Mar 15, 2021","73.32","72.91","73.55","72.87","755.58K","0.55%"
"Mar 12, 2021","72.92","73.24","73.59","72.25","657.45K","-0.50%"
"Mar 11, 2021","73.29","72.19","73.43","72.15","647.19K","1.66%"
"Mar 10, 2021","72.09","71.80","72.35","71.40","1.10M","1.02%"
"Mar 09, 2021","71.36","70.35","72.03","70.01","3.78M","1.45%"
"Mar 08, 2021","70.34","69.13","71.29","69.03","1.85M","1.90%"
"Mar 05, 2021","69.03","68.26","69.37","67.05","1.06M","2.45%"
"Mar 04, 2021","67.38","69.32","69.49","66.75","1.14M","-3.02%"
"Mar 03, 2021","69.48","70.50","70.64","69.25","1.00M","-1.11%"
"Mar 02, 2021","70.26","70.51","71.32","70.01","913.92K","-0.20%"
"Mar 01, 2021","70.40","69.77","70.75","69.60","869.17K","2.49%"
"Feb 26, 2021","68.69","70.20","70.30","67.99","1.63M","-2.15%"
"Feb 25, 2021","70.20","70.88","71.04","70.00","958.78K","-0.64%"
"Feb 24, 2021","70.65","70.50","71.51","70.26","1.22M","0.14%"
"Feb 23, 2021","70.55","70.69","70.96","69.40","974.79K","-0.95%"
"Feb 22, 2021","71.23","71.16","71.45","70.63","2.07M","-0.06%"
"Feb 19, 2021","71.27","71.00","71.78","70.68","1.20M","1.12%"
"Feb 18, 2021","70.48","72.00","73.23","70.32","1.15M","-0.59%"
"Feb 17, 2021","70.90","71.61","71.70","70.57","3.02M","-1.25%"
"Feb 16, 2021","71.80","71.60","72.40","71.20","1.11M","0.98%"
"Feb 12, 2021","71.10","69.99","71.67","69.54","918.54K","1.92%"
"Feb 11, 2021","69.76","70.26","70.61","69.15","748.07K","-0.53%"
"Feb 10, 2021","70.13","70.01","70.96","68.94","1.22M","0.96%"
"Feb 09, 2021","69.46","70.05","70.43","68.43","705.47K","-0.19%"
"Feb 08, 2021","69.59","68.91","70.34","68.80","1.18M","1.74%"
