"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 07, 2022","75.11","75.30","75.84","74.39","130.55K","0.54%"
"Jan 06, 2022","74.71","75.77","75.91","73.81","229.52K","-3.04%"
"Jan 05, 2022","77.05","77.54","78.39","76.94","181.68K","0.34%"
"Jan 04, 2022","76.79","77.73","78.12","76.64","117.91K","-2.10%"
"Dec 31, 2021","78.44","78.93","78.93","77.64","99.59K","-0.05%"
"Dec 30, 2021","78.48","77.55","78.56","77.55","95.56K","1.20%"
"Dec 29, 2021","77.55","76.35","78.17","76.35","174.71K","1.99%"
"Dec 24, 2021","76.04","75.77","76.22","75.77","12.51K","-0.29%"
"Dec 23, 2021","76.26","74.73","76.51","74.73","112.95K","1.59%"
"Dec 22, 2021","75.07","74.86","75.28","73.69","185.42K","-0.08%"
"Dec 21, 2021","75.13","76.25","76.27","74.66","98.07K","-1.05%"
"Dec 20, 2021","75.93","75.92","76.27","75.23","150.81K","-0.55%"
"Dec 17, 2021","76.35","75.73","77.92","75.67","305.68K","1.25%"
"Dec 16, 2021","75.41","70.12","75.59","70.03","329.64K","8.30%"
"Dec 15, 2021","69.63","72.13","72.28","68.45","343.57K","-3.59%"
"Dec 14, 2021","72.22","72.46","73.42","72.07","190.73K","-1.45%"
"Dec 13, 2021","73.28","72.13","73.84","71.84","328.20K","2.65%"
"Dec 10, 2021","71.39","71.77","71.77","70.27","142.07K","-0.08%"
"Dec 09, 2021","71.45","70.56","71.50","70.26","122.63K","0.20%"
"Dec 08, 2021","71.31","70.43","71.43","69.84","225.49K","-0.04%"
"Dec 07, 2021","71.34","70.92","71.82","70.88","149.21K","0.13%"
"Dec 06, 2021","71.25","70.00","72.20","70.00","173.89K","1.51%"
"Dec 03, 2021","70.19","68.12","70.50","67.61","193.79K","2.86%"
"Dec 02, 2021","68.24","68.45","68.77","67.48","186.16K","-1.23%"
"Dec 01, 2021","69.09","70.34","71.35","69.06","152.88K","-1.23%"
"Nov 30, 2021","69.95","70.71","72.12","69.94","177.12K","-1.02%"
"Nov 29, 2021","70.67","70.91","71.24","69.75","176.61K","-0.27%"
"Nov 26, 2021","70.86","71.14","71.76","70.36","225.92K","1.50%"
"Nov 25, 2021","69.81","70.31","70.83","69.71","29.96K","-0.57%"
"Nov 24, 2021","70.21","70.11","70.86","69.95","105.16K","-0.14%"
"Nov 23, 2021","70.31","70.14","70.69","69.45","116.36K","-0.78%"
"Nov 22, 2021","70.86","70.50","71.58","69.69","161.20K","-0.99%"
"Nov 19, 2021","71.57","71.50","72.40","71.10","117.31K","-0.69%"
"Nov 18, 2021","72.07","72.84","73.24","71.71","157.02K","-1.45%"
"Nov 17, 2021","73.13","73.50","74.10","72.82","155.43K","0.07%"
"Nov 16, 2021","73.08","74.11","74.52","72.93","119.04K","-1.00%"
"Nov 15, 2021","73.82","73.58","74.10","73.24","157.34K","0.16%"
"Nov 12, 2021","73.70","73.82","74.52","73.26","140.34K","-0.50%"
"Nov 11, 2021","74.07","73.95","74.68","73.45","212.72K","1.86%"
"Nov 10, 2021","72.72","72.00","73.30","71.86","255.87K","3.03%"
"Nov 09, 2021","70.58","70.20","70.62","69.48","241.53K","0.86%"
"Nov 08, 2021","69.98","70.96","70.96","69.62","216.75K","-0.28%"
"Nov 05, 2021","70.18","68.71","70.21","68.51","295.37K","2.59%"
"Nov 04, 2021","68.41","69.14","69.75","67.95","195.73K","0.19%"
"Nov 03, 2021","68.28","67.20","68.67","66.69","180.01K","0.65%"
"Nov 02, 2021","67.84","67.04","67.89","66.38","190.73K","1.03%"
"Nov 01, 2021","67.15","66.75","67.67","66.25","228.06K","0.49%"
"Oct 29, 2021","66.82","67.41","68.58","66.81","346.28K","-1.47%"
"Oct 28, 2021","67.82","69.75","69.84","67.41","258.64K","-4.60%"
"Oct 27, 2021","71.09","71.55","71.75","70.26","124.54K","-0.57%"
"Oct 26, 2021","71.50","71.30","71.86","70.84","103.18K","-0.32%"
"Oct 25, 2021","71.73","72.05","72.56","71.47","187.40K","0.73%"
"Oct 22, 2021","71.21","71.11","73.03","71.11","224.69K","0.66%"
"Oct 21, 2021","70.74","70.32","70.80","69.84","95.97K","0.38%"
"Oct 20, 2021","70.47","70.95","71.11","70.15","91.87K","-0.06%"
"Oct 19, 2021","70.51","70.91","71.03","69.84","120.95K","0.99%"
"Oct 18, 2021","69.82","70.59","70.59","69.50","94.79K","-1.02%"
"Oct 15, 2021","70.54","69.97","70.80","69.34","168.97K","-1.32%"
"Oct 14, 2021","71.48","70.53","71.63","70.20","201.19K","1.94%"
"Oct 13, 2021","70.12","68.28","70.55","68.28","220.97K","2.72%"
"Oct 12, 2021","68.26","67.73","69.04","67.36","124.35K","0.78%"
"Oct 08, 2021","67.73","69.62","69.69","67.67","150.45K","-1.14%"
"Oct 07, 2021","68.51","68.56","69.36","68.37","169.39K","-0.16%"
"Oct 06, 2021","68.62","67.50","68.68","67.00","235.39K","1.37%"
"Oct 05, 2021","67.69","68.38","68.64","66.85","268.38K","-1.58%"
"Oct 04, 2021","68.78","67.45","69.15","67.45","155.47K","1.60%"
"Oct 01, 2021","67.70","69.06","69.18","67.64","173.04K","-1.58%"
"Sep 30, 2021","68.79","68.89","69.65","68.79","213.94K","0.41%"
"Sep 29, 2021","68.51","69.26","69.38","68.30","179.19K","-0.97%"
"Sep 28, 2021","69.18","67.52","69.47","67.36","169.22K","1.63%"
"Sep 27, 2021","68.07","68.21","69.44","67.96","103.97K","-0.18%"
"Sep 24, 2021","68.19","68.50","69.17","68.18","120.92K","-0.32%"
"Sep 23, 2021","68.41","69.19","69.43","68.25","181.21K","-1.89%"
"Sep 22, 2021","69.73","70.45","70.73","69.69","201.34K","-0.16%"
"Sep 21, 2021","69.84","69.79","70.89","69.58","287.96K","0.90%"
"Sep 20, 2021","69.22","70.45","70.45","68.69","243.33K","-1.65%"
"Sep 17, 2021","70.38","69.61","70.47","69.27","164.76K","0.09%"
"Sep 16, 2021","70.32","72.19","72.21","69.63","232.02K","-3.54%"
"Sep 15, 2021","72.90","72.06","73.20","72.06","118.01K","0.45%"
"Sep 14, 2021","72.57","72.10","73.07","71.86","143.79K","0.50%"
"Sep 13, 2021","72.21","72.28","73.03","71.98","194.48K","-0.06%"
"Sep 10, 2021","72.25","72.00","72.74","71.85","120.70K","-0.37%"
"Sep 09, 2021","72.52","73.22","73.22","72.10","128.36K","-0.73%"
"Sep 08, 2021","73.05","73.21","73.83","72.71","112.90K","-0.98%"
"Sep 07, 2021","73.77","74.44","74.70","73.29","166.83K","-1.31%"
"Sep 03, 2021","74.75","74.64","75.24","74.07","261.73K","1.48%"
"Sep 02, 2021","73.66","73.07","73.72","72.89","183.44K","0.85%"
"Sep 01, 2021","73.04","73.41","73.53","72.63","188.21K","-0.16%"
"Aug 31, 2021","73.16","73.20","73.20","72.59","187.67K","0.90%"
"Aug 30, 2021","72.51","73.61","73.61","72.24","98.32K","-1.19%"
"Aug 27, 2021","73.38","72.02","73.48","71.59","137.74K","2.13%"
"Aug 26, 2021","71.85","71.27","72.22","71.27","86.02K","0.22%"
"Aug 25, 2021","71.69","72.06","72.11","71.43","146.36K","-1.02%"
"Aug 24, 2021","72.43","73.48","73.48","72.37","143.96K","-0.92%"
"Aug 23, 2021","73.10","72.98","73.58","72.20","155.06K","1.19%"
"Aug 20, 2021","72.24","72.63","73.17","72.13","120.20K","-0.30%"
"Aug 19, 2021","72.46","72.57","73.05","72.16","203.82K","0.61%"
"Aug 18, 2021","72.02","73.98","74.05","71.92","235.67K","-3.08%"
"Aug 17, 2021","74.31","74.32","74.70","73.75","161.99K","0.38%"
"Aug 16, 2021","74.03","73.93","74.54","73.63","131.27K","0.54%"
"Aug 13, 2021","73.63","73.86","73.99","73.24","161.79K","0.79%"
"Aug 12, 2021","73.05","74.15","74.15","72.63","159.50K","-1.36%"
"Aug 11, 2021","74.06","73.54","74.83","73.46","155.00K","1.83%"
"Aug 10, 2021","72.73","74.28","74.28","72.59","225.06K","-1.77%"
"Aug 09, 2021","74.04","74.14","74.88","73.99","212.42K","-1.44%"
"Aug 06, 2021","75.12","75.41","75.86","74.23","348.69K","-1.86%"
"Aug 05, 2021","76.54","77.53","77.53","76.44","183.74K","-1.40%"
"Aug 04, 2021","77.63","79.20","79.55","77.62","190.83K","-1.16%"
"Aug 03, 2021","78.54","78.00","79.22","77.83","144.16K","0.42%"
"Jul 30, 2021","78.21","77.53","78.67","77.53","197.89K","0.17%"
"Jul 29, 2021","78.08","78.51","79.10","77.99","154.01K","0.74%"
"Jul 28, 2021","77.51","76.94","77.65","76.90","180.30K","0.40%"
"Jul 27, 2021","77.20","76.03","77.28","75.25","235.86K","1.91%"
"Jul 26, 2021","75.75","75.63","76.98","75.35","156.48K","0.24%"
"Jul 23, 2021","75.57","74.78","75.67","74.28","255.91K","-0.13%"
"Jul 22, 2021","75.67","75.83","75.92","74.40","170.71K","-0.34%"
"Jul 21, 2021","75.93","75.57","76.32","75.50","157.99K","-0.95%"
"Jul 20, 2021","76.66","77.90","78.87","76.15","168.21K","-0.93%"
"Jul 19, 2021","77.38","77.67","78.21","76.53","252.28K","-0.60%"
"Jul 16, 2021","77.85","79.78","79.78","77.41","273.19K","-2.69%"
"Jul 15, 2021","80.00","79.49","80.22","79.14","190.11K","0.92%"
"Jul 14, 2021","79.27","80.27","80.60","79.00","135.78K","-0.06%"
"Jul 13, 2021","79.32","78.91","80.57","78.91","206.66K","0.77%"
"Jul 12, 2021","78.71","79.49","79.84","78.48","148.44K","-1.16%"
"Jul 09, 2021","79.63","78.79","80.06","78.79","181.34K","1.22%"
"Jul 08, 2021","78.67","80.19","80.62","78.10","204.12K","-0.93%"
"Jul 07, 2021","79.41","79.69","80.01","79.09","150.85K","-0.25%"
