"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 17, 2017","107.18","108.25","108.37","106.63","204.81K","-1.46%"
"Oct 16, 2017","108.77","108.07","109.13","107.28","260.88K","0.80%"
"Oct 13, 2017","107.91","106.65","108.29","106.25","365.35K","1.70%"
"Oct 12, 2017","106.11","106.26","106.42","105.30","169.35K","-0.37%"
"Oct 11, 2017","106.50","106.27","106.86","105.90","271.67K","0.68%"
"Oct 10, 2017","105.78","106.35","106.38","105.52","113.26K","-0.24%"
"Oct 09, 2017","106.03","105.81","106.56","105.29","89.80K","0.28%"
"Oct 06, 2017","105.73","105.95","106.07","104.89","262.98K","-0.56%"
"Oct 05, 2017","106.33","107.32","107.57","106.07","260.83K","-0.77%"
"Oct 04, 2017","107.15","107.11","107.88","106.79","199.50K","0.12%"
"Oct 03, 2017","107.02","107.15","107.34","106.46","122.53K","0.01%"
"Oct 02, 2017","107.01","107.25","107.65","106.77","138.10K","-0.19%"
"Sep 29, 2017","107.21","107.66","108.14","107.15","227.11K","-0.64%"
"Sep 28, 2017","107.90","108.66","110.42","107.81","410.79K","-0.02%"
"Sep 27, 2017","107.92","107.57","108.08","107.12","168.98K","0.39%"
"Sep 26, 2017","107.50","107.87","108.20","106.87","291.91K","-0.49%"
"Sep 25, 2017","108.03","108.12","108.31","107.37","180.50K","0.09%"
"Sep 22, 2017","107.93","106.93","108.44","106.93","194.73K","0.47%"
"Sep 21, 2017","107.42","106.37","108.00","106.37","405.49K","0.40%"
"Sep 20, 2017","106.99","108.48","109.33","106.55","641.50K","-1.38%"
"Sep 19, 2017","108.49","108.02","109.39","107.64","374.48K","0.44%"
"Sep 18, 2017","108.02","105.50","109.18","105.16","725.91K","2.76%"
"Sep 15, 2017","105.12","103.31","105.41","102.83","464.89K","2.07%"
"Sep 14, 2017","102.99","102.13","103.01","101.38","175.35K","0.82%"
"Sep 13, 2017","102.15","102.26","103.01","101.80","281.66K","-0.01%"
"Sep 12, 2017","102.16","102.84","103.90","101.70","357.25K","-0.38%"
"Sep 11, 2017","102.55","100.60","103.05","100.15","312.74K","2.80%"
"Sep 08, 2017","99.76","99.59","100.14","98.95","151.81K","0.02%"
"Sep 07, 2017","99.74","99.20","100.88","99.20","240.41K","0.56%"
"Sep 06, 2017","99.18","97.36","99.47","97.06","381.77K","2.08%"
"Sep 05, 2017","97.16","98.63","99.20","96.67","396.65K","-1.21%"
"Sep 01, 2017","98.35","98.45","99.06","98.19","171.75K","0.32%"
"Aug 31, 2017","98.04","97.62","98.36","96.81","318.79K","1.06%"
"Aug 30, 2017","97.01","97.11","97.41","96.69","231.23K","-0.20%"
"Aug 29, 2017","97.20","96.00","97.70","95.80","463.43K","0.93%"
"Aug 28, 2017","96.30","97.11","97.29","96.23","332.77K","-0.66%"
"Aug 25, 2017","96.94","96.98","97.41","96.71","129.56K","0.45%"
"Aug 24, 2017","96.51","96.72","97.06","96.06","193.56K","-0.11%"
"Aug 23, 2017","96.62","96.13","96.91","95.94","388.73K","0.10%"
"Aug 22, 2017","96.52","98.00","98.67","96.30","268.44K","-1.24%"
"Aug 21, 2017","97.73","97.20","97.99","96.50","201.17K","0.56%"
"Aug 18, 2017","97.19","97.18","97.91","95.91","539.58K","-0.02%"
"Aug 17, 2017","97.21","99.24","99.41","96.77","308.26K","-2.05%"
"Aug 16, 2017","99.24","98.07","99.64","98.07","261.84K","0.96%"
"Aug 15, 2017","98.30","98.03","98.60","97.30","316.19K","0.10%"
"Aug 14, 2017","98.20","98.70","99.41","98.00","330.97K","-0.16%"
"Aug 11, 2017","98.36","98.03","99.09","97.79","336.36K","-0.08%"
"Aug 10, 2017","98.44","97.50","98.84","97.10","1.21M","-0.14%"
"Aug 09, 2017","98.58","98.71","98.73","97.99","701.85K","-0.42%"
"Aug 08, 2017","99.00","98.64","99.78","98.28","535.04K","0.16%"
"Aug 07, 2017","98.84","101.13","101.23","98.51","272.19K","-2.09%"
"Aug 04, 2017","100.95","101.06","101.92","100.30","539.67K","0.15%"
"Aug 03, 2017","100.80","99.31","100.88","99.17","518.97K","1.21%"
"Aug 02, 2017","99.59","99.46","100.03","98.90","313.33K","0.14%"
"Aug 01, 2017","99.45","100.28","100.28","98.00","595.54K","-0.65%"
"Jul 31, 2017","100.10","99.96","100.47","99.42","290.66K","0.32%"
"Jul 28, 2017","99.78","98.91","99.78","98.59","225.14K","0.78%"
"Jul 27, 2017","99.01","99.07","100.25","98.58","700.89K","0.01%"
"Jul 26, 2017","99.00","100.25","100.25","98.55","607.01K","-1.09%"
"Jul 25, 2017","100.09","100.28","100.92","99.51","281.94K","0.21%"
"Jul 24, 2017","99.88","99.93","100.56","98.89","316.11K","-0.08%"
"Jul 21, 2017","99.96","100.01","100.25","98.85","364.51K","-0.37%"
"Jul 20, 2017","100.33","100.48","100.97","99.67","581.91K","0.26%"
"Jul 19, 2017","100.07","98.65","100.34","98.65","292.61K","1.78%"
"Jul 18, 2017","98.32","98.01","98.52","97.21","319.81K","-0.13%"
"Jul 17, 2017","98.45","98.50","99.38","98.12","314.51K","-0.10%"
"Jul 14, 2017","98.55","97.20","99.10","96.99","425.97K","1.52%"
"Jul 13, 2017","97.07","95.45","97.77","95.08","464.86K","1.70%"
"Jul 12, 2017","95.45","96.00","97.95","95.22","526.81K","-0.35%"
"Jul 11, 2017","95.79","95.50","96.18","94.19","460.19K","0.11%"
